url,label,description
"http://websoilsurvey.sc.egov.usda.gov/","Web Soil Survey","The same data for download as from the Geospatial Data Gateway; use the Download Soils Data tab. An advantage is the possibility to select an area of interest which may cover several soil survey areas."
"https://casoilresource.lawr.ucdavis.edu/soilweb-apps","SoilWeb","Another interface to SSURGO and NATSGO maps from the California Soil Resource Lab. Uses either Google Maps or Google Earth. The latter is an incredible interface showing polygons at appropriate display scale click-through for map unit description with profile diagrams block diagrams of typical landscape positions; also shows locations of typifying pedons. Also available as iPhone or Android apps."
"https://casoilresource.lawr.ucdavis.edu/soil-properties/","Gridded Soil Properties of the Continental USA","Gridded (800x800 m) maps of selected soil properties throughout the continental United States interactive and downloadable as GeoTIFF. Maps were created by aggregating SSURGO back-filled with NATSGO where SSURGO is not available. Chemical physical land use soil colour. Some properties directly useful for land use: land capability Kw hydrologic group soil thickness wind erodibility. Also from the California Soil Resource Lab."
"https://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/research/?cid=nrcs142p2_053543","Kellogg Soil Survey Laboratory (KSSL)","National Soil Survey Center Soil Characterization Data  Analytical data for more than 20000 pedons of U. S. soils and about 1100 pedons from other countries. Standard morphological pedon descriptions are available for about 15000 of these pedons. The above link describes the dataset; it can be downloaded from the http://ncsslabdatamart.sc.egov.usda.gov/ NCSS Soil Characterization Database page."
"https://edcftp.cr.usgs.gov/project/soil/GlobalSoilMap/","GlobalSoilMap v0.5 (USA)","The USA's contribution to the https://www.isric.org/projects/globalsoilmapnet GlobalSoilMap.net  project which is currently on-hold. This product from 2015 is however fully in accordance with the specifications: 6 standard depth intervals based on equal area spline functions (0-5; 5-15; 15-30; 30-60; 60-100; and 100-200cm) for twelve soil properties (total profile depth-cm; plant exploitable (effective) soil depth-cm; organic carbon-g/kg; pH1:5 water; sand-g/kg; silt-g/kg; clay-g/kg; gravel-m3 m-3; ECEC-cmolc/kg; bulk density (&lt; 2 mm) fraction-Mg/m3; bulk density of the whole soil in situ (includes gravel)-Mg/m3; and available water capacity-mm. Nominal grid resolution is 3 of arc about 100m. An extensive database includes uncertainty estimates. Explained by the NRCS https://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/research/?cid=nrcseprd1321715"
"https://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/survey/tools/?cid=nrcs142p2_053552","National Soil Information System NASIS","The dynamic internal database behind products including SSURGO and Web Soil Survey. Not for use outside NRCS but you could ask for access conditions."
"https://www.polaris.earth","POLARIS soil series and properties","Chaney  et al. constructed using available high-resolution geospatial environmental data and a state-of-the-art machine learning algorithm (DSMART-HPC) to remap the Soil Survey Geographic (SSURGO) database. Fills gaps removes discontinuities at survey area edges gives probabilities of each class; (2) PROPERTIES: 30-meter probabilistic maps of soil properties of the contiguous United States. Described in http://dx.doi.org/10.1029/2018WR022797 Water Resources Research 55:2916  Chaney  et al.  Infers properties from series."
"https://scholarsphere.psu.edu/collections/jw827b80n","USA48 Soil Properties and Class 100m Grids United States","Predictive maps of soil properties and Soil Taxonomy Great Groups based on three national U.S. soil point datasets: NCSS Characterization Database the National Soil Information System (NASIS) and the Rapid Carbon Assessment (RaCA) datasets and using a predictive mapping framework similar to https://www.isric.org/explore/soilgrids SoilGrids v1 but with additional covariates specific to the USA. Hosted at Penn State University."
"https://mrdata.usgs.gov/ngdb/soil/","National [USA] Geochemical Database: Soil",""
"https://data.isric.org/geonetwork/srv/eng/catalog.search#/metadata/436bd4b0-7ffc-4272-be57-686b7d7eea7d","SOTERLAC","SOTER for Latin America &amp; Caribbean 1:5M."
"https://esdac.jrc.ec.europa.eu/resource-type/national-soil-maps-eudasm?field_data_continent_tid_selective=1268","European digital archive on soil maps (EuDASM)","Scanned soil maps available for Canada &amp; the USA."
"https://esdac.jrc.ec.europa.eu/resource-type/national-soil-maps-eudasm?field_data_continent_tid_selective=1269","European digital archive on soil maps (EuDASM)","Scanned soil maps available for South America including Ma©xico Central America and the Caribbean islands."
"http://54.229.242.119/sislac/en","Sistema de Informacion de Suelos de Latinoama©rica (SISLAC)","** Esta es una version beta esta¡ planificado trasladarlo http://sislac.org Offline on 31-May-2022 link is kept here in case it re-activates Una iniciativa regional impulsada y financiada por la Alianza Mundial por el Suelo (FAO) e implementada en alianza estrata©gica con CIAT EMBRAPA y 20 instituciones nacionales. Su objetivo es el esarrollo de un sistema moderno de informacion de suelos."
"https://data.isric.org/geonetwork/srv/eng/catalog.search#/metadata/436bd4b0-7ffc-4272-be57-686b7d7eea7d","SOTERLAC","SOTER for Latin America &amp; Caribbean 1:5M."
"https://dados.gov.br/dataset?q=solos","conjuntos de dados encontrados para solos","del https://dados.gov.br/ Portal Brasileiro de Dados Abertos  Archivos Shapefile KML GeoJSON CSV de pontos de amostragem mapas de solos das folhas escala 1:250.000; solos do Brasil 1:5M solos da Amaza´nia Legal 1:250.000"
"http://coral.ufsm.br/febr/","Repositorio Brasileiro Livre para Dados Abertos do Solo (FEBR)","foi criado com o proposito de servir de meio para a compilaado organizaado e publicaado de todos os tipos de dados do solo no Brasil. Para isso sa£o usados padraµes baseados em experiaªncias internacionais principalmente uma pola­tica de dados abertos primando pela facilidade de acesso manutena e uso. A meta a© constituir um repositorio centralizado para armazenar e servir dados do solo em formato padronizado e harmonizado para va¡rias aplicaa§aµes."
"http://coral.ufsm.br/febr/","Repositorio Brasileiro de Dados de Ferro do Solo","O objetivo: a construao colaborativa de um repositorio de dados de ferro do solo com cobertura nacional que fosse publico gratuito e sobretudo fa¡cil de usar e manter."
"https://esdac.jrc.ec.europa.eu/resource-type/national-soil-maps-eudasm?field_data_continent_tid_selective=1269","European digital archive on soil maps (EuDASM)","Scanned soil maps available for South America."
"http://www.geoportaligm.gob.ec/geoinformacion/index-alt7.html","Descargas de informacion de los proyectos IEE (Instituto Espacial Ecuatoriano)","Al nivel nacional y cantonal ver el tema geopedologa­a. Mapas y bases de datos para descargar. Tambia©n otros temas (capacidad de uso sistemas productivos ...)"
"http://sisinta.inta.gob.ar","Sistema de informacion de Suelos del INTA (SiSINTA)","Base de datos del https://www.argentina.gob.ar/inta Instituto Nacional de Tecnologa­a Agropecuaria  (INTA). Actualmente (2020-Mar-29) hay 5865 perfiles (4662 publicos) cargados en 4189 series"
"http://www.geointa.inta.gob.ar/2013/05/26/suelos-de-la-republica-argentina/","Suelos de la Republica Argentina","Compilacion del https://www.argentina.gob.ar/inta Instituto Nacional de Tecnologa­a Agropecuaria  (INTA). Inventario del recurso suelo del paa­s proporciona una clasificacion de los suelos y evaluacion de las tierras. Escala gra¡fica 1:500.000 y las provincias de Neuquan Mendoza San Juan La Rioja Chubut y Santa Cruz esta¡n a escala 1:1.000.000. Formato ESRI Shapefile."
"https://dx.doi.org/10.5281/zenodo.6353509","Cartas de Suelos Republica Argentina - Provincia de Buenos Aires","El Instituto Nacional de Tecnologa­a Agropecuaria (INTA) pone a disposicion de la comunidad para su libre descarga la informacion vectorial de suelos a escala 1:50.000 de la Provincia de Buenos Aires elaborado a partir de la digitalizacion del material original de las Cartas de Suelos de la Republica Argentina."
"https://iraka.agrosavia.co/","Sistema de informacion de suelos para el altiplano Cundiboyacense IRAKA","Cobertura tipo raster de algunas propiedades (densidad aparente pH materia orga¡nica Mg Ca Na K P Al arcilla clase textural conductividad ela©ctrica"
"http://nsidc.org/data/ggd221","University of Wisconsin Antarctic Soils Database","Data collected by Dr. James G. Bockheim and his colleagues from 1975 through 1987. Data include site information air and soil temperature measurements soil profile features and surface boulder weathering features for 482 sites in the McMurdo Sound area of Antarctica."
"http://ismn.geo.tuwien.ac.at/","International Soil Moisture Network","Soil moisture which is the water stored in the upper soil layer is a crucial parameter for a large number of applications including numerical weather prediction flood forecasting agricultural drought assessment water resources management greenhouse gas accounting civil protection and epidemiological modeling of water borne diseases."
"https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/soilClimateConditions/","Soil Climate Analysis Network (SCAN)","From the (USA) National Water &amp; Climate Center. Time-series of soil moisture temperature snowpack for scattered stations. Also has some records for Puerto Rico US Virgin Islands"
"http://nationalsoilmoisture.com","National [USA] Soil Moisture Network database","Maintained at Ohio State University by https://geography.osu.edu/people/quiring.10 Steven Quiring . Harmonized and quality-controlled. Explained in http://dx.doi.org/10.1175/BAMS-D-13-00263.1 this paper."
